feature,target_correlation,absolute_target_correlation,mutual_information,random_forest_importance,target_correlation_rank,mutual_information_rank,random_forest_rank,mean_rank,consensus_position,final_consensus_position
Bwd Packet Length Max,0.039071034489754304,0.039071034489754304,0.31111775618060733,0.012773249573348994,42.0,5.0,37.0,28.0,28,17
Bwd Packets Length Total,-0.012078847469157432,0.012078847469157432,0.31833727609604257,0.01453076199388614,56.5,2.0,28.0,28.833333333333332,29,18
Bwd IAT Min,0.06700154737107956,0.06700154737107956,0.15508704052283062,0.01957144789075406,30.0,38.0,20.0,29.333333333333332,30,19
RST Flag Count,0.14044689659221327,0.14044689659221327,0.014917043726415002,0.01667892911036717,9.5,58.0,25.0,30.833333333333332,31,20
Fwd Packets/s,-0.011558538736243617,0.011558538736243617,0.18621686745375587,0.025608520327904068,58.0,27.0,11.0,32.0,33,21
Bwd IAT Total,-0.06872812886507379,0.06872812886507379,0.17335930730181226,0.01070899499919171,29.0,33.0,43.0,35.0,36,22
Bwd Packets/s,-0.012161506930777426,0.012161506930777426,0.16749911650048066,0.019518893155099637,55.0,34.0,22.0,37.0,37,23
Protocol,-0.17782695103143878,0.17782695103143878,0.02555721638353159,0.003380837449427693,5.0,50.0,58.0,37.666666666666664,38,24
Bwd Packet Length Min,-0.17851575841275175,0.17851575841275175,0.025020681543094003,0.0027654955316730677,4.0,51.0,59.0,38.0,39,25
Bwd IAT Mean,0.06151935185961761,0.06151935185961761,0.1489929559565395,0.006572395922619754,31.0,39.0,48.0,39.333333333333336,40,26
Packet Length Min,-0.09350393755753265,0.09350393755753265,0.022238406291748003,0.0057845887920091885,17.0,55.0,49.0,40.333333333333336,42,27
Flow Bytes/s,-0.02090399734253,0.02090399734253,0.13238736884379998,0.014476963503023972,52.0,42.0,29.0,41.0,43,28
PSH Flag Count,0.1283026981986873,0.1283026981986873,0.017968048483910204,0.001921298510381326,12.0,57.0,60.0,43.0,46,29
Idle Mean,-0.05064434060816032,0.05064434060816032,0.05842572841008886,0.004922377740141989,35.0,48.0,50.0,44.333333333333336,49,30
Flow IAT Std,-0.0034764293477315003,0.0034764293477315003,0.1749089730389548,0.01169204971465809,65.0,30.0,40.0,45.0,50,31
Down/Up Ratio,0.09534660056770375,0.09534660056770375,0.013348008924934263,0.0008474891065587064,16.0,60.0,63.0,46.333333333333336,55,32
Bwd IAT Std,-0.001377976350764772,0.001377976350764772,0.13195201343817464,0.014384842333013072,67.0,43.0,30.0,46.666666666666664,56,33
Bwd IAT Max,2.7463988588289336e-05,2.7463988588289336e-05,0.15822010622159155,0.008399015123693511,69.0,37.0,46.0,50.666666666666664,57,34
Idle Std,0.04138598789056615,0.04138598789056615,0.012646624878757784,0.0017443159584851332,38.0,61.0,61.0,53.333333333333336,58,35
ACK Flag Count,0.03406653130694678,0.03406653130694678,0.003870031177997557,0.0036834331517856325,43.0,63.0,56.0,54.0,59,36
Active Min,0.011532153946108627,0.011532153946108627,0.023241120240329316,0.0039814943899697764,59.0,54.0,52.0,55.0,60,37
Fwd PSH Flags,-0.04114028176592901,0.04114028176592901,0.0020472683312064976,0.0003237878312398233,39.5,65.0,65.0,56.5,61,38
Active Mean,0.010245943646837945,0.010245943646837945,0.024022116203979538,0.003536985545753628,60.0,53.0,57.0,56.666666666666664,62,39
Active Max,0.002295012496575203,0.002295012496575203,0.024395026318024593,0.00392831774722427,66.0,52.0,53.0,57.0,63,40
URG Flag Count,-0.013054162280615945,0.013054162280615945,0.002849925782008489,0.000819025276202335,54.0,64.0,64.0,60.666666666666664,65,41
Fwd URG Flags,0.02366341094161095,0.02366341094161095,0.0019088507606097593,2.7765144265384655e-05,50.5,66.0,69.0,61.833333333333336,66,42
Active Std,-0.0010109969900850488,0.0010109969900850488,0.007856741171996307,0.0013279724829156866,68.0,62.0,62.0,64.0,68,43
FIN Flag Count,-0.004262211599938847,0.004262211599938847,0.0,0.0001430995136260817,63.0,68.5,67.0,66.16666666666667,69,44
